,Name,National ID,Barcode,Location,Date,Season,Country,Province,Species,Species (English),Breed/subspecies,Sex,Date of birth,Age (days),Age_category,Country of birth,Born at current residence,Bodyweight (kg),Breed line,Breed country of origin,Breed_type,White_breed,Traditional use,Establishment type,Husbandry intensity,Inside/outside,Additional outside access,Outdoor_access,Outside environment,Soil present,Bedding material,Bedding_present,Straw_present,Slatted floor,No. animals in enclosure,Housed with other species,Other species,Weaning age (days),Given formula milk,Creep feed,Creep_what,Creep_consistency,Water content (%),PSS,Dietary regimen,Feed name,Feed ingredients,Crude protein,Protein_category,Crude fat,Crude ash,Crude fibre,Fibre_category,Carbohydrates,Calcium,Phosphorous,Sodum,Lysine,Methionine,Organic/standard,Environmental food,Dietary supplementation,Purely_commercial_diet,Dairy_in_diet,First_feed_ingredient,Acetic_acid_mM/g,Propionic_acid_mM/g,Isobutyric_acid_mM/g,Butyric_acid_mM/g,Isovaleric_acid_mM/g,Valeric_acid_mM/g,Isocaproic_acid_mM/g,Caproic_acid_mM/g,Enanthic_acid_mM/g,Total_SCFA_mM/g,Total_BCFA_mM/g,Total_MCFA_mM/g,Total_VFA_mM/g,AA%,PA%,IBA%,BA%,IVA%,VA%,ICA%,CA%,EA%,SCFA%,BCFA%,MCFA%,Ratio_AA,Ratio_PA,Ratio_BA,Medical conditions,Medication,Antibiotics,Recent_antibiotics,Worming,Immunisations,Farrowed,Last farrowing,Gestating,Nursing,Parity,Castrated,Chemical/physical,Seq_run,Relatives/cohabitants,Sample storage information,Additional information,ID,numerical_age_category,DMM_cluster,cluster_lda,Simpson
02BE08,,,bc1008--bc1075,02BE,11/10/2021,Autumn,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,27/08/2021,45.0,Nursery,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,Control,Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 249,02BE08,1,5,cluster 6,0.992640563
02BE09,,,bc1012--bc1075,02BE,11/10/2021,Autumn,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,31/08/2021,41.0,Nursery,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,"Whole plant silage: triticale, faba beans",Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 194,02BE09,1,5,cluster 6,0.996591943
02BE10,,,bc1015--bc1075,02BE,11/10/2021,Autumn,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,26/08/2021,46.0,Nursery,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,"Whole plant silage: triticale, faba beans",Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 294,02BE10,1,1,cluster 6,0.987327758
02BE11,,,bc1020--bc1075,02BE,27/10/2021,Autumn,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,09/10/2021,18.0,Lactation,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,"Whole plant silage: triticale, faba beans",Solid,73.07692308,4.0,,,,,,,,,,,,,,,,Organic,,No,Yes,,,"84,32619687","34,44245279","4,218077393","17,15195152","5,380578883","3,21762814",0,0,0,139.1382293,"9,598656275",0,"148,7368856","56,69","23,16","2,84","11,53","3,62","2,16","0,00","0,00","0,00","93,55","6,45","0,00","0,62","0,25","0,13",,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 276,02BE11,4,2,cluster 2,0.982518344
02BE13,,,bc1022--bc1075,02BE,27/10/2021,Autumn,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,07/10/2021,20.0,Lactation,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,"Whole plant silage: triticale, faba beans",Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 306,02BE13,4,2,cluster 2,0.984922642
02BE17,,,bc1024--bc1075,02BE,27/10/2021,Autumn,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,07/10/2021,20.0,Lactation,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,Control,Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 260,02BE17,4,2,cluster 2,0.988290248
02BE20,,,bc1005--bc1076,02BE,08/11/2021,Autumn,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,25/10/2021,14.0,Lactation,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,"Whole plant silage: triticale, faba beans",Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 310,02BE20,4,2,cluster 2,0.985486719
02BE21,,,bc1007--bc1076,02BE,08/11/2021,Autumn,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,01/10/2021,38.0,Nursery,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,"Whole plant silage: triticale, faba beans",Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 230,02BE21,1,5,cluster 6,0.996411474
02BE25,,,bc1008--bc1076,02BE,22/11/2021,Autumn,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,22/10/2021,31.0,Nursery,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,"Whole plant silage: triticale, faba beans",Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 206,02BE25,1,5,cluster 6,0.996409126
02BE28,,,bc1012--bc1076,02BE,20/12/2021,Winter,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,11/12/2021,9.0,Lactation,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,Control,Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 243,02BE28,4,2,cluster 2,0.973016639
02BE30,,,bc1015--bc1076,02BE,20/12/2021,Winter,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,04/12/2021,16.0,Lactation,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,Maize silage,Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 284,02BE30,4,3,cluster 6,0.992618998
02BE31,,,bc1020--bc1076,02BE,20/12/2021,Winter,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,03/12/2021,17.0,Lactation,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,Maize silage,Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 285,02BE31,4,3,cluster 6,0.995579507
02BE32,,,bc1022--bc1076,02BE,20/12/2021,Winter,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,03/12/2021,17.0,Lactation,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,Control,Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 283,02BE32,4,2,cluster 2,0.978495278
02BE33,,,bc1024--bc1076,02BE,20/12/2021,Winter,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,25/11/2021,25.0,Nursery,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,Maize silage,Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 281,02BE33,1,5,cluster 6,0.996944779
02BE34,,,bc1005--bc1082,02BE,20/12/2021,Winter,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,14/12/2021,6.0,Lactation,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,Maize silage,Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 271,02BE34,4,2,cluster 2,0.986804547
02BE36,,,bc1007--bc1082,02BE,21/01/2022,Winter,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,01/12/2021,51.0,Nursery,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,Maize silage,Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 315,02BE36,1,2,cluster 6,0.982587656
02BE38,,,bc1008--bc1082,02BE,21/01/2022,Winter,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,25/12/2021,27.0,Nursery,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,Maize silage,Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 250,02BE38,1,2,cluster 6,0.994362803
02BE41,,,bc1012--bc1082,02BE,21/01/2022,Winter,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,15/12/2021,37.0,Nursery,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,Maize silage,Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 316,02BE41,1,3,cluster 6,0.987376289
02BE43,,,bc1015--bc1082,02BE,21/01/2022,Winter,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,16/12/2021,36.0,Nursery,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,Maize silage,Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 289,02BE43,1,3,cluster 6,0.993447136
02BE45,,,bc1020--bc1082,02BE,21/01/2022,Winter,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,10/01/2022,11.0,Lactation,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,Control,Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 282,02BE45,4,1,cluster 6,0.994062966
03BE02,,,bc1022--bc1082,03BE,19/04/2022,Spring,Belgium,Vlaams-Brabant,Sus scrofa domesticus,Domestic pig,Piétrain x TN70,Male,15/02/2022,63.0,Nursery,Belgium,No,,PIC 408 Piétrain,Belgium x Norway,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,No,No,,No,,No,No,Yes,288,No,,21,No,Yes,Vida optima 2 crumble,Solid,,,,BV Voeders Biervliet Speenvoeder T4,"Gerst, tarwe, sojabonen getoast, maïs, tarwezemelgrint, sojavoer getoast, suikerbietenpulp, monocalciumfosfaat, soja-olie, voederzout, koolzure voederkalk (calciumcarbonaat), natriumbicarbonaat","16,5",Medium,"5,5",5,4.0,Medium,69,"1,25","0,5","0,3","1,25","0,5",Standard,,,Yes,No,Barley,"237,4382966","120,7267011","10,45338737","94,64288004","13,90124375","22,59598121","0,610556294","4,04964846","1,023003508",475.403859,"24,96518741","5,072651968","505,4416984","46,98","23,89","2,07","18,72","2,75","4,47","0,12","0,80","0,20","94,06","4,94","1,00","0,52","0,27","0,21",,,,,No,,,,,,,No,,NAMES02,"03BE02-03BE10 all lived in the same barn, but not the same pen","Snap-freezing, -80°C",,03BE02,1,1,cluster 5,0.99208438
03BE03,,,bc1024--bc1082,03BE,19/04/2022,Spring,Belgium,Vlaams-Brabant,Sus scrofa domesticus,Domestic pig,Piétrain x TN70,Male,15/02/2022,63.0,Nursery,Belgium,No,,PIC 408 Piétrain,Belgium x Norway,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,No,No,,No,,No,No,Yes,288,No,,21,No,Yes,Vida optima 2 crumble,Solid,77.98742138,5.0,,BV Voeders Biervliet Speenvoeder T1,"Gerst, tarwe, sojabonen getoast, maïs, tarwezemelgrint, sojavoer getoast, suikerbietenpulp, monocalciumfosfaat, soja-olie, voederzout, koolzure voederkalk (calciumcarbonaat), natriumbicarbonaat","16,5",Medium,"5,5",5,4.0,Medium,69,"1,25","0,5","0,3","1,25","0,5",Standard,,,Yes,No,Barley,"283,2616366","127,2665586","11,16490719","93,73732372","14,13581586","12,68952984","0,626155908","3,126143096","1,103609197",516.9550488,"25,92687896","4,229752293","547,11168","51,77","23,26","2,04","17,13","2,58","2,32","0,11","0,57","0,20","94,49","4,74","0,77","0,56","0,25","0,19",,,,,No,,,,,,,No,,NAMES02,"03BE02-03BE10 all lived in the same barn, but not the same pen","Snap-freezing, -80°C",,03BE03,1,1,cluster 6,0.994049377
